"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"200730_s_at","200730_s_at","PTP4A1",1.21410844231541,8.52411838261508,5.46542574020535,6.1115578694712e-06,0.00972741742895905,3.78855033331108
"202833_s_at","202833_s_at","SERPINA1",1.17729553579986,9.19849946034375,5.40280483031392,7.29735634903831e-06,0.010840466101708,3.6325721715484
"AFFX-HSAC07/X00351_M_at","AFFX-HSAC07/X00351_M_at","ACTB",0.634133639914335,13.4574707719091,5.33618307053922,8.81327499507418e-06,0.0122741379197024,3.46642536165973
"201020_at","201020_at","YWHAH",0.719384410774049,8.56936983291009,5.26159906037118,1.08877668922933e-05,0.0142713005682924,3.28020777676213
"208992_s_at","208992_s_at","STAT3",0.491995986371734,9.74447379593208,5.19567340491823,1.31250177712332e-05,0.0162480428331327,3.11545201417618
"AFFX-HSAC07/X00351_5_at","AFFX-HSAC07/X00351_5_at","ACTB",0.716265852107082,13.0859558754019,5.1734153112748,1.39798746513553e-05,0.0163954498345342,3.05979898035139
"212639_x_at","212639_x_at",NA,0.325780843939631,12.6810789074609,5.12380509471472,1.60909208288862e-05,0.0166429763159835,2.9357148353481
"207667_s_at","207667_s_at","MAP2K3",0.491703228150618,8.78237616042537,5.12346100712665,1.61066235912344e-05,0.0166429763159835,2.93485403371789
"211048_s_at","211048_s_at","PDIA4",0.624006876972484,8.37378955937295,5.116414091867,1.64316061101125e-05,0.0166429763159835,2.91722433322804
"204017_at","204017_at","KDELR3",0.754798856387271,9.04768059689377,5.07321998719115,1.85717753180862e-05,0.0177244473060081,2.80914505250228
"214088_s_at","214088_s_at","FUT3",0.408556644327232,9.66139958317152,5.06350633975498,1.90901914169633e-05,0.0177244473060081,2.78483611966827
